"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 200 ",0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0
"otu 201 ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0
"otu 202 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0
"otu 203 ",6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 204 ",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 205 ",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0
"otu 206 ",0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"otu 207 ",0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,3,0
"otu 208 ",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 209 ",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0
"otu 210 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0
"otu 211 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"otu 212 ",0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
"otu 213 ",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
"otu 214 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"otu 215 ",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 216 ",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"otu 217 ",0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 218 ",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"otu 219 ",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 220 ",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"otu 221 ",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"otu 222 ",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"otu 223 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"otu 224 ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 225 ",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 226 ",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 227 ",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"otu 228 ",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"otu 229 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"otu 230 ",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 231 ",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"otu 232 ",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
